"ID","Literature_ID","Nodes_ID","Edges_ID","Pertains_To","Pages"
"1240","38","5623",NULL,,"469"
"1242","154","5623",NULL,,"45"
"1244","38","1379",NULL,,"119"
"1246","154","1379",NULL,,"45"
"1248","154","8447",NULL,,"45"
"1250","38","8447",NULL,,"680"
"1252","154","4958",NULL,"tolls","46"
"1254","154","2795",NULL,,"45"
"1256","154","8649",NULL,,"45"
"1258","200","8939",NULL,,"36-47"
"1260","200","8938",NULL,,"48-49"
"1262","202","18",NULL,"staple",
"1264","38","4218",NULL,,"344"
"1266","38","8005",NULL,,"639-640"
"1268","4","2067",NULL,"tolls","260"
"1270","158","8942",NULL,"tolls","35-37"
"1274","72","45",NULL,,"71"
"1276","164","1097",NULL,,"27"
"1278","70","15",NULL,,"79"
"1280","164","1108",NULL,,"27-28"
"1282","164","1111",NULL,,"28"
"1284","38","1116",NULL,,"100"
"1286","38","1123",NULL,,"101"
"1288","38","1125",NULL,,"99"
"1290","38","1127",NULL,,"102"
"1292","38","1131",NULL,,"102"
"1294","48","1132",NULL,,"357"
"1298","38","1152",NULL,,"105"
"1300","38","1154",NULL,,"106"
"1302","38","1232",NULL,,"p. 260"
"1304","38","1305",NULL,,"275"
"1306","118","1233",NULL,,"48"
"1308","38","1306",NULL,,"115"
"1310","38","1236",NULL,,"110"
"1312","38","1323",NULL,,"116"
"1314","38","1238",NULL,,"p. 111"
"1316","38","1239",NULL,,"p. 111"
"1318","156","1329",NULL,,"47"
"1320","38","1330",NULL,,"116"
"1322","38","1247",NULL,,"p. 112"
"1324","38","1249",NULL,,"p. 112"
"1326","38","1234",NULL,,"110"
"1328","38","1250",NULL,,"p. 112"
"1330","38","1251",NULL,,"p. 112"
"1332","38","1341",NULL,,"117"
"1334","48","1255",NULL,,"113"
"1336","38","1256",NULL,,"p. 113"
"1338","38","1258",NULL,,"p. 113"
"1340","38","1661",NULL,,"p. 141"
"1342","38","1370",NULL,,"119"
"1344","96","1378",NULL,,"60-61"
"1346","38","1665",NULL,,"p. 142"
